shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10215,45.399008,-74.050557,10001,0.000
10215,45.397626,-74.047499,10002,0.284
10215,45.397247,-74.046662,10003,0.362
10215,45.397196,-74.046548,10004,0.373
10215,45.396866,-74.045815,10005,0.441
10215,45.396318,-74.044601,10006,0.554
10215,45.396169,-74.044267,10007,0.585
10215,45.396082,-74.044073,10008,0.603
10215,45.395904,-74.043677,10009,0.640
10215,45.395602,-74.043003,10010,0.702
10215,45.395264,-74.042252,10011,0.772
10215,45.394975,-74.041609,10012,0.832
10215,45.394732,-74.041069,10013,0.882
10215,45.394500,-74.040551,10014,0.930
10215,45.394273,-74.040046,10015,0.977
10215,45.393616,-74.038592,10016,1.113
10215,45.393368,-74.038043,10017,1.164
10215,45.393152,-74.037563,10018,1.208
10215,45.393063,-74.037364,10019,1.227
10215,45.393005,-74.037226,10020,1.239
10215,45.392935,-74.037063,10021,1.254
10215,45.392882,-74.036945,10022,1.265
10215,45.392680,-74.036506,10023,1.306
10215,45.392437,-74.035976,10024,1.356
10215,45.392213,-74.035488,10025,1.401
10215,45.391967,-74.034947,10026,1.452
10215,45.391662,-74.034276,10027,1.514
10215,45.391411,-74.033724,10028,1.566
10215,45.389416,-74.029313,10029,1.976
10215,45.389175,-74.028782,10030,2.026
10215,45.388988,-74.028368,10031,2.064
10215,45.388827,-74.028011,10032,2.098
10215,45.388637,-74.027591,10033,2.137
10215,45.388461,-74.027203,10034,2.173
10215,45.388357,-74.026974,10035,2.194
10215,45.388305,-74.026864,10036,2.205
10215,45.388086,-74.026412,10037,2.248
10215,45.387971,-74.026174,10038,2.270
10215,45.387877,-74.025957,10039,2.290
10215,45.387765,-74.025694,10040,2.314
10215,45.387622,-74.025363,10041,2.345
10215,45.387120,-74.024270,10042,2.447
10215,45.386930,-74.023853,10043,2.486
10215,45.386546,-74.023005,10044,2.565
10215,45.386457,-74.022807,10045,2.583
10215,45.386318,-74.022481,10046,2.613
10215,45.386227,-74.022221,10047,2.636
10215,45.386202,-74.022146,10048,2.642
10215,45.386172,-74.022052,10049,2.650
10215,45.386114,-74.021869,10050,2.666
10215,45.386098,-74.021804,10051,2.671
10215,45.386028,-74.021516,10052,2.695
10215,45.385983,-74.021317,10053,2.712
10215,45.385951,-74.021064,10054,2.732
10215,45.385932,-74.020893,10055,2.745
10215,45.385920,-74.020653,10056,2.764
10215,45.385917,-74.020283,10057,2.793
10215,45.385926,-74.019795,10058,2.831
10215,45.385961,-74.019143,10059,2.882
10215,45.385979,-74.018661,10060,2.920
10215,45.386018,-74.017822,10061,2.986
10215,45.386061,-74.016942,10062,3.055
10215,45.386093,-74.016300,10063,3.106
10215,45.386148,-74.015236,10064,3.189
10215,45.386173,-74.014729,10065,3.229
10215,45.386191,-74.014333,10066,3.260
10215,45.386242,-74.013164,10067,3.352
10215,45.386261,-74.012697,10068,3.389
10215,45.386283,-74.012174,10069,3.430
10215,45.386284,-74.012113,10070,3.434
10215,45.386283,-74.012100,10071,3.435
10215,45.386290,-74.011670,10072,3.469
10215,45.386293,-74.011475,10073,3.484
10215,45.386303,-74.011102,10074,3.514
10215,45.386308,-74.010930,10075,3.527
10215,45.386327,-74.010344,10076,3.573
10215,45.386345,-74.009945,10077,3.604
10215,45.386337,-74.009511,10078,3.638
10215,45.386400,-74.008255,10079,3.737
