trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled,timepoint,platform_track
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:30:00,13:30:00,MTL3C,1,0,1,0.000,1,Voie 4
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:34:15,13:35:00,MTL2C,2,0,0,3.446,1,Voie 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:40:15,13:41:00,MTL1C,3,0,0,7.206,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:46:15,13:47:00,LCH1B,4,0,0,12.809,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:49:15,13:50:00,DVL2B,5,0,0,15.297,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:52:15,13:53:00,DVL1B,6,0,0,16.953,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:55:15,13:56:00,PCL3B,7,0,0,19.038,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,13:57:15,13:58:00,PCL2B,8,0,0,20.062,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:00:15,14:01:00,PCL1B,9,0,0,21.456,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:03:15,14:04:00,BEA2B,10,0,0,23.764,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:06:15,14:07:00,BEA1B,11,0,0,27.003,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:09:15,14:10:00,BUR1B,12,0,0,29.383,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:12:15,14:13:00,SAB1B,13,0,0,32.495,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:16:15,14:17:00,LIP1B,14,0,0,34.217,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:20:15,14:21:00,TVA1B,15,0,0,36.582,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:22:15,14:23:00,VAU1B,16,0,0,37.837,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-01,14:30:00,14:30:00,VAU8B,17,1,0,41.574,1,Quai 1|2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:30:00,13:30:00,MTL3C,1,0,1,0.000,1,Voie 4
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:34:15,13:35:00,MTL2C,2,0,0,3.446,1,Voie 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:40:15,13:41:00,MTL1C,3,0,0,7.206,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:46:15,13:47:00,LCH1B,4,0,0,12.809,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:49:15,13:50:00,DVL2B,5,0,0,15.297,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:52:15,13:53:00,DVL1B,6,0,0,16.953,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:55:15,13:56:00,PCL3B,7,0,0,19.038,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,13:57:15,13:58:00,PCL2B,8,0,0,20.062,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:00:15,14:01:00,PCL1B,9,0,0,21.456,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:03:15,14:04:00,BEA2B,10,0,0,23.764,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:06:15,14:07:00,BEA1B,11,0,0,27.003,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:09:15,14:10:00,BUR1B,12,0,0,29.383,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:12:15,14:13:00,SAB1B,13,0,0,32.495,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:16:15,14:17:00,LIP1B,14,0,0,34.217,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:20:15,14:21:00,TVA1B,15,0,0,36.582,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:22:15,14:23:00,VAU1B,16,0,0,37.837,1,Quai 2
4083489-TRAIN-A25-TRKPI-Dimanche-02,14:30:00,14:30:00,VAU8B,17,1,0,41.574,1,Quai 1|2
4083489-TRAIN-A25-TRKPI-Fête-1-02,13:30:00,13:30:00,MTL3C,1,0,1,0.000,1,Voie 4
